index,dpt_pseudotime
Run4_134041176492980,0.046055343
Run4_134041208208622,0.21074942
Run4_134041208273197,0.54199606
Run4_134376302950822,0.21889628
Run4_134376303277996,0.6847329
Run4_134376317636020,0.23591246
Run4_134376317638444,0.26981655
Run4_134376318164197,0.15524961
Run4_134376318188459,0.060260322
Run4_134376331074867,0.23685165
Run4_134376349616557,0.2639492
Run4_134377525631211,0.58238405
Run4_134377538219363,0.40132773
Run4_134447975255283,0.08292245
Run4_134447975750454,0.25504524
Run4_134447976003501,0.28292
Run4_134447990232886,0.21622059
Run4_134447990758622,0.20732339
Run4_134448002525940,0.3105818
Run4_134448002779892,0.2422881
